"Academia Econ. Pap.","Academia Economic Papers"
"Ann. Public Coop. Econ.","Annals of Public and Cooperative Economics"
"Ann. Reg. Sci.","Annals of Regional Science"
"Ann. Amer. Acad. Polit. Soc. Sci.","Annals of the American Academy of Political and Social Science"
"Antitrust Bull.","Antitrust Bulletin"
"Antitrust Law Econ.","Antitrust Law and Economics Review"
"Appl. Econ. Letters","Applied Economics Letters"
"Appl. Econ.","Applied Economics"
"Appl. Finan. Econ.","Applied Financial Economics"
"Appl. Geogr. Devel.","Applied Geography and Development"
"Appl. Math. Finance","Applied Mathematical Finance"
"Aquaculture Econ. Manage.","Aquaculture Economics and Management"
"Archives Econ. Hist.","Archives of Economic History"
"Arquivo Inst.","Arquivo do Instituto Gulbenkian de Cie^ncia"
"Artha-Vikas","Artha-Vikas"
"Arthaniti","Arthaniti"
"ASEAN Econ. Bull.","ASEAN Economic Bulletin"
"Asia Pacific Bus. Rev.","Asia Pacific Business Review"
"Asia Pacific J. Econ. Bus.","Asia Pacific Journal of Economics and Business"
"Asia-Pacific Devel. J.","Asia-Pacific Development Journal"
"Asia-Pacific Econ. Rev.","Asia-Pacific Economic Review"
"Asia-Pacific Finan. Markets","Asia-Pacific Financial Markets"
"Asian Devel. Rev.","Asian Development Review"
"Asian Econ. J.","Asian Economic Journal"
"Asian Econ. Rev.","Asian Economic Review"
"Asian J. Agr. Econ.","Asian Journal of Agricultural Economics"
"Asian-Pacific Econ. Lit.","Asian-Pacific Economic Literature"
"Atlantic Econ. J.","Atlantic Economic Journal"
"Aussenwirtschaft","Aussenwirtschaft"
"Australasian J. Reg. Stud.","Australasian Journal of Regional Studies"
"Australian Bull. Lab.","Australian Bulletin of Labour"
"Australian Commodities Forecasts Issues","Australian Commodities Forecasts and Issues"
"Australian Econ. Hist. Rev.","Australian Economic History Review"
"Australian Econ. Pap.","Australian Economic Papers"
"Australian Econ. Rev.","Australian Economic Review"
"Australian J. Agr. Resource Econ.","Australian Journal of Agricultural and Resource Economics"
"Australian J. Agr. Econ.","Australian Journal of Agricultural Economics"
"Australian J. Lab. Econ.","Australian Journal of Labour Economics"
"Australian J. Manage.","Australian Journal of Management"
"Australian Tax Forum","Australian Tax Forum"
"Banca Naz. Lavoro Quart. Rev.","Banca Nazionale del Lavoro Quarterly Review"
"Bancaria","Bancaria"
"Banco Espan~a Econ. Bull.","Banco de Espan~a Economic Bulletin"
"Bangladesh Devel. Stud.","Bangladesh Development Studies"
"Bangladesh Econ. Rev.","Bangladesh Economic Review"
"Bank Engl. Quart. Bull.","Bank of England Quarterly Bulletin"
"Bank Israel Banking Rev.","Bank of Israel Banking Review"
"Bank Israel Econ. Rev.","Bank of Israel Economic Review"
"Bank Japan Monet. Econ. Stud.","Bank of Japan Monetary and Economic Studies"
"Bank Korea Econ. Pap.","Bank of Korea Economic Papers"
"Bank Valletta Rev.","Bank of Valletta Review"
"Banker","Banker"
"Behavioral Res. Acc.","Behavioral Research in Accounting"
"Bell J. Econ.","Bell Journal of Economics"
"Bol. Mus. Soc. Argent.","Boletin del Musea Social Argentino"
"Brazilian Electronic J. Econ.","Brazilian Electronic Journal of Economics"
"Brazilian Rev. Econometrics","Brazilian Review of Econometrics"
"Brit. J. Ind. Relat.","British Journal of Industrial Relations"
"Brit. Rev. Econ. Issues","British Review of Economic Issues"
"Brookings Pap. Econ. Act.","Brookings Papers on Economic Activity"
"Brookings-Wharton Pap. Finan. Services","Brookings-Wharton Papers on Financial Services"
"Brookings-Wharton Pap. Urban Aff.","Brookings-Wharton Papers on Urban Affairs"
"Buffalo Law Rev.","Buffalo Law Review"
"Bull. Int. Fiscal Doc.","Bulletin for International Fiscal Documentation"
"Bull. Econ. Res.","Bulletin of Economic Research"
"Bull. Indonesian Econ. Stud.","Bulletin of Indonesian Economic Studies"
"Bull. Oxford Univ. Inst. Econ. Statist.","Bulletin of the Oxford University Institute of Economics and Statistics"
"Bull. Univ. Osaka Prefect.","Bulletin of University of Osaka Prefecture"
"Bus. Econ. Hist.","Business and Economic History"
"Bus. Econ.","Business Economics"
"Bus. Hist. Rev.","Business History Review"
"Bus. Hist.","Business History"
"Cah. Econ. Sociologie Rurales","Cahiers d'Economie et Sociologie Rurales"
"Cah. Econ. Politique","Cahiers d'Economie Politique"
"Cah. Econ. Bruxelles","Cahiers Economiques de Bruxelles"
"Cah. Econ. Soc.","Cahiers Economiques et Sociaux"
"Calif. Manage. Rev.","California Management Review"
"Cambridge Econ. Pol. Rev.","Cambridge Economic Policy Review"
"Cambridge J. Econ.","Cambridge Journal of Economics"
"Can. Bus. Econ.","Canadian Business Economics"
"Can. J. Agr. Econ.","Canadian Journal of Agricultural Economics"
"Can. J. Devel. Stud.","Canadian Journal of Development Studies"
"Can. J. Econ.","Canadian Journal of Economics"
"Can. J. Reg. Sci.","Canadian Journal of Regional Science"
"Can. Public Pol.","Canadian Public Policy"
"Can. Tax J.","Canadian Tax Journal"
"Carnegie-Rochester Conf. Ser. Public Pol.","Carnegie-Rochester Conference Series on Public Policy"
"Cato J.","Cato Journal"
"CEMLA Bol. Mens.","CEMLA Boletin Mensual"
"Central Europ. J. Operations Res. Econ.","Central European Journal for Operations Research and Economics"
"Central Europ. J. Operations Res.","Central European Journal of Operations Research"
"CEPAL Rev.","CEPAL Review"
"Challenge","Challenge"
"China Econ. Rev.","China Economic Review"
"China Quart.","China Quarterly"
"Chinese Econ. Stud.","Chinese Economic Studies"
"Chinese Economy","Chinese Economy"
"CIRIEC-Espan~a, Revista Econ. Pu'blica, Soc. Cooperativa","CIRIEC-Espan~a, Revista de Economi'a Pu'blica, Social y Cooperativa"
"Cityscape: J. Pol. Devel. Res.","Cityscape: A Journal of Policy Development and Research"
"Colección Estud. CIEPLAN","Colección Estudios CIEPLAN"
"Columbia J. World Bus.","Columbia Journal of World Business"
"Comercio Exterior","Comercio Exterior"
"Comertul Mod.","Comertul Modern"
"Communications Strategies","Communications and Strategies"
"Communist Economies Econ. Transformation","Communist Economies and Economic Transformation"
"Compar. Econ. Stud.","Comparative Economic Studies"
"Computational Econ.","Computational Economics"
"Computer Sci. Econ. Manage.","Computer Science in Economics and Management"
"Conflict Manage. Peace Sci.","Conflict Management and Peace Science"
"Consommation","Consommation"
"Constit. Polit. Economy","Constitutional Political Economy"
"Contemporary Econ. Pol.","Contemporary Economic Policy"
"Contemp. Pol. Issues","Contemporary Policy Issues"
"Contrib. to Polit. Economy","Contributions to Political Economy"
"Critic. Rev.","Critical Review"
"Cuadernos Econ.","Cuadernos de Economia"
"Cuadernos de la C.V.F.","Cuadernos de la C.V.F."
"Cuadernos Econ. I.C.E.","Cuadernos Economicos de I.C.E."
"Cyprus J. Econ.","Cyprus Journal of Economics"
"Cyprus Rev.","Cyprus Review"
"Czech. Econ. Digest.","Czechoslovak Economic Digest"
"Czech. Econ. Pap.","Czechoslovak Economic Papers"
"Czech. J. Operations Res.","Czechoslovak Journal for Operations Research"
"De Economi'a","De Economi'a"
"De Economist","De Economist"
"Defence Peace Econ.","Defence and Peace Economics"
"Defence Econ.","Defence Economics"
"Demogr. Econ.","Demografi'a y Economi'a"
"Demography","Demography"
"Der Donaurum","Der Donaurum"
"Desarrollo Econ.","Desarrollo Económico"
"Developing Economies","Developing Economies"
"Devel. Change","Development and Change"
"Devel. Southern Africa","Development Southern Africa"
"Development","Development"
"East African J. Rural Devel.","East African Journal of Rural Development"
"East-West J. Econ. Bus.","East-West Journal of Economics and Business"
"East-West Ser. Econ., Bus., Environ.","East-West Series in Economics, Business, and the Environment"
"Eastern Africa Econ. Rev.","Eastern Africa Economic Review"
"Eastern Econ. J.","Eastern Economic Journal"
"Eastern Europ. Econ.","Eastern European Economics"
"Ecolog. Econ.","Ecological Economics"
"Económica (La Plata)","Económica (National University of La Plata)"
"Econ. Chilena","Economi'a Chilena"
"Econometric Rev.","Econometric Reviews"
"Econometric Theory","Econometric Theory"
"Econometrica","Econometrica"
"Econometrics J.","Econometrics Journal"
"Economia (Peru)","Economia (Pontifical Catholic University of Peru)"
"Economia (Portugal)","Economia (Portuguese Catholic University)"
"Econ. Aplicada/Brazilian J. Appl. Econ.","Economia Aplicada/Brazilian Journal of Applied Economics"
"Econ. Scelte Pubbliche/J. Public Finance Public Choice","Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice"
"Econ. Lavoro","Economia e Lavoro"
"Econ. Ind.","Economia Industrial"
"Econ. Int./Int. Econ.","Economia Internazionale/International Economics"
"Econ. Int.","Economia Internazionale"
"Econ. Mexicana, Nueva Epoca","Economia Mexicana, Nueva Epoca"
"Econ. Politica","Economia Politica"
"Econ. Aff.","Economic Affairs"
"Econ. Anal. Pol., N.S.","Economic Analysis and Policy, New Series"
"Econ. Anal. Pol.","Economic Analysis and Policy"
"Econ. Anal. Workers' Manage.","Economic Analysis and Workers' Management"
"Econ. Anal.","Economic Analysis"
"Econ. Bus. Bull.","Economic and Business Bulletin"
"Econ. Bus. Rev.","Economic and Business Review"
"Econ. Finan. Modelling","Economic and Financial Modelling"
"Econ. Finan. Rev.","Economic and Financial Review"
"Econ. Ind. Democracy","Economic and Industrial Democracy"
"Econ. Lab. Relat. Rev.","Economic and Labour Relations Review"
"Econ. Soc. Rev.","Economic and Social Review"
"Econ. Bull. Ghana, 2nd Ser.","Economic Bulletin of Ghana, Second Series"
"Econ. Computat. Econ. Cybern. Stud. Res.","Economic Computation and Economic Cybernetics Studies and Research"
"Econ. Design","Economic Design"
"Econ. Devel. Cult. Change","Economic Development and Cultural Change"
"Econ. Devel. Quart.","Economic Development Quarterly"
"Econ. Forum","Economic Forum"
"Econ. Geogr.","Economic Geography"
"Econ. Hist. Rev., 2nd Ser.","Economic History Review, Second Series"
"Econ. Hist. Rev.","Economic History Review"
"Econ. Inquiry","Economic Inquiry"
"Econ. Issues","Economic Issues"
"Econ. J.","Economic Journal"
"Econ. Modelling","Economic Modelling"
"Econ. Notes","Economic Notes"
"Econ. Perspect.","Economic Perspectives"
"Econ. Pol. Rev.","Economic Policy Review"
"Econ. Pol.: A Europ. Forum","Economic Policy: A European Forum"
"Econ. Rec.","Economic Record"
"Econ. Rev. (Keizai Kenkyu)","Economic Review (Keizai Kenkyu)"
"Econ. Stud. Quart.","Economic Studies Quarterly"
"Econ. Systems Res.","Economic Systems Research"
"Econ. Systems","Economic Systems"
"Econ. Theory","Economic Theory"
"Economica, N.S.","Economica, N.S."
"Economica","Economica"
"Econ. Bus. Educ.","Economics and Business Education"
"Econ. Philos.","Economics and Philosophy"
"Econ. Politics","Economics and Politics"
"Econ. Letters","Economics Letters"
"Econ. Educ. Rev.","Economics of Education Review"
"Econ. Governance","Economics of Governance"
"Econ. Innovation New Tech.","Economics of Innovation and New Technology"
"Econ. Planning","Economics of Planning"
"Econ. Transition","Economics of Transition"
"Econ.: Biann. Collec. Recent Ger. Stud.","Economics: A Biannual Collection of Recent German Studies"
"Econ.: J. Econ. Assoc.","Economics: The Journal of the Economics Association"
"Economics","Economics"
"Econ. Appl.","Economie Appliquée"
"Econ. Prévision","Economie et Prévision"
"Econ. Int.","Economie Internationale"
"Econ. Rurale","Economie Rurale"
"Econ. Soc.","Economies et Sociétés"
"Econ. Soc. Tijdschr.","Economisch en Sociaal Tijdschrift"
"Economy Hist.","Economy and History"
"Economy Society","Economy and Society"
"Educ. Econ.","Education Economics"
"EIB Pap.","EIB Papers"
"Ekonomia","Ekonomia"
"Ekon.-Mat. Obzor","Ekonomicko-Matematicky Obzor"
"Ekonomika Radvanskoyi Ukhayeny","Ekonomika Radvanskoyi Ukhayeny"
"Ekon. Samfundets Tidskr.","Ekonomiska Samfundets Tidskrift"
"Ekon. Istrazivanja/Econ. Res.","Ekonomska Istrazivanja/Economic Research"
"Ekon. Misao Praksa","Ekonomska Misao i Praksa"
"Trim. Econ.","El Trimestre Economico"
"Empirica","Empirica"
"Empirical Econ.","Empirical Economics"
"Energy Econ.","Energy Economics"
"Energy J.","Energy Journal"
"Energy Stud. Rev.","Energy Studies Review"
"Eng. Econ.","Engineering Economist"
"Enterprise Society","Enterprise and Society"
"Entrepreneurship Reg. Devel.","Entrepreneurship and Regional Development"
"Environ. Devel. Econ.","Environment and Development Economics"
"Environ. Planning A","Environment and Planning A"
"Environ. Planning C: Govt. Pol.","Environment and Planning C: Government and Policy"
"Environ. Resource Econ.","Environmental and Resource Economics"
"Environ. Econ. Pol. Stud.","Environmental Economics and Policy Studies"
"Environ. Values","Environmental Values"
"Estud. de Econ.","Estudios de Economia"
"Estud. Econ.","Estudios Económicos"
"Estud. Empresariales","Estudios Empresariales"
"Estud. Int.","Estudios Internacionales"
"Estudos Econ.","Estudos Economicos"
"Etud. Conjoncture","Etudes et Conjoncture"
"Eurasian Geogr. Econ.","Eurasian Geography and Economics"
"EuroChoices","EuroChoices"
"Europ. Econ. Rev.","European Economic Review"
"Europ. Finance Rev.","European Finance Review"
"Europ. Finan. Manage.","European Financial Management"
"Europ. J. Devel. Res.","European Journal of Development Research"
"Europ. J. Finance","European Journal of Finance"
"Europ. J. Housing Pol.","European Journal of Housing Policy"
"Europ. J. Ind. Relat.","European Journal of Industrial Relations"
"Europ. J. Int. Relat.","European Journal of International Relations"
"Europ. J. Law Econ.","European Journal of Law and Economics"
"Europ. J. Polit. Economy","European Journal of Political Economy"
"Europ. J. Hist. Econ. Thought","European Journal of the History of Economic Thought"
"Europ. Rev. Agr. Econ.","European Review of Agricultural Economics"
"Europ. Rev. Econ. Hist.","European Review of Economic History"
"Exper. Econ.","Experimental Economics"
"Explorations Econ. Hist.","Explorations in Economic History"
"Family Econ. Nutrition Rev.","Family Economics and Nutrition Review"
"Family Econ. Rev.","Family Economics Review"
"FDIC Banking Rev.","FDIC Banking Review"
"Fed. Reserve Bank Bus. Rev. Phila.","Federal Reserve Bank Business Review of Philadelphia"
"Fed. Reserve Bank Atlanta Econ. Rev.","Federal Reserve Bank of Atlanta Economic Review"
"Fed. Reserve Bank Atlanta Rev.","Federal Reserve Bank of Atlanta Monthly Review"
"Fed. Reserve Bank Boston New Eng. Econ. Rev.","Federal Reserve Bank of Boston New England Economic Review"
"Fed. Reserve Bank Chicago Econ. Perspect.","Federal Reserve Bank of Chicago Economic Perspectives"
"Fed. Reserve Bank Cleveland Econ. Rev.","Federal Reserve Bank of Cleveland Economic Review"
"Fed. Reserve Bank Dallas Econ. Finan. Rev.","Federal Reserve Bank of Dallas Economic and Financial Review"
"Fed. Reserve Bank Dallas Econ. Rev.","Federal Reserve Bank of Dallas Economic Review"
"Fed. Reserve Bank Kansas City Econ. Rev.","Federal Reserve Bank of Kansas City Economic Review"
"Fed. Reserve Bank Kansas City Rev.","Federal Reserve Bank of Kansas City Monthly Review"
"Fed. Reserve Bank Minneapolis Quart. Rev.","Federal Reserve Bank of Minneapolis Quarterly Review"
"Fed. Reserve Bank New York Econ. Pol. Rev.","Federal Reserve Bank of New York Economic Policy Review"
"Fed. Reserve Bank New York Rev.","Federal Reserve Bank of New York Monthly Review"
"Fed. Reserve Bank New York Quart. Rev.","Federal Reserve Bank of New York Quarterly Review"
"Fed. Reserve Bank Philadelphia Bus. Rev.","Federal Reserve Bank of Philadelphia Business Review"
"Fed. Reserve Bank Richmond Econ. Quart.","Federal Reserve Bank of Richmond Economic Quarterly"
"Fed. Reserve Bank Richmond Econ. Rev.","Federal Reserve Bank of Richmond Economic Review"
"Fed. Reserve Bank San Francisco Econ. Rev.","Federal Reserve Bank of San Francisco Economic Review"
"Fed. Reserve Bank San Francisco Rev.","Federal Reserve Bank of San Francisco Monthly Review"
"Fed. Reserve Bank St. Louis Rev.","Federal Reserve Bank of St. Louis Review"
"Fed. Reserve Bull.","Federal Reserve Bulletin"
"Feminist Econ.","Feminist Economics"
"Finance U'ver","Finance a U'ver"
"Finance Devel.","Finance and Development"
"Finance Stochastics","Finance and Stochastics"
"Finance Trade Rev.","Finance and Trade Review"
"Finance India","Finance India"
"Finance","Finance"
"Finan. Eng. Japanese Markets","Financial Engineering and the Japanese Markets"
"Finan. Hist. Rev.","Financial History Review"
"Finan. Industry Stud.","Financial Industry Studies"
"Finan. Manage.","Financial Management"
"Finan. Markets, Inst. Instruments","Financial Markets, Institutions and Instruments"
"Finan. Practice Educ.","Financial Practice and Education"
"Finan. Rev.","Financial Review"
"FinanzArch.","FinanzArchiv"
"Finnish Econ. Pap.","Finnish Economic Papers"
"Fisc. Stud.","Fiscal Studies"
"Food Pol.","Food Policy"
"Food Res. Inst. Stud.","Food Research Institute Studies"
"Foreign Aff.","Foreign Affairs"
"Foresight","Foresight"
"Forum Devel. Stud.","Forum for Development Studies"
"Forum Soc. Econ.","Forum for Social Economics"
"Games Econ. Behav.","Games and Economic Behavior"
"Geneva Pap. Risk Ins. Theory","Geneva Papers on Risk and Insurance Theory"
"Geneva Pap. Risk Ins.: Issues Practice","Geneva Papers on Risk and Insurance: Issues and Practice"
"Ger. Econ. Rev.","German Economic Review"
"Giorn. Econ.","Giornale degli Economisti e Annali di Economia"
"Global Bus. Econ. Rev.","Global Business and Economics Review"
"Global Econ. Rev.","Global Economic Review"
"Global Economy Quart.","Global Economy Quarterly"
"Global Environ. Politics","Global Environmental Politics"
"Global Finance J.","Global Finance Journal"
"Gospodarstvo Istre","Gospodarstvo Istre"
"Greek Econ. Rev.","Greek Economic Review"
"Growth Change","Growth and Change"
"Harvard Bus. Rev.","Harvard Business Review"
"Health Care Manage. Sci.","Health Care Management Science"
"Health Econ.","Health Economics"
"Health Marketing Quart.","Health Marketing Quarterly"
"Health Services Res.","Health Services Research"
"Hist. Abstr.","Historical Abstracts"
"Hist. Econ. Ideas","History of Economic Ideas"
"Hist. Econ. Rev.","History of Economics Review"
"Hist. Polit. Economy","History of Political Economy"
"Hitotsubashi J. Com. Manage.","Hitotsubashi Journal of Commerce and Management"
"Hitotsubashi J. Econ.","Hitotsubashi Journal of Economics"
"Hong Kong Econ. Pap.","Hong Kong Economic Papers"
"Housing Finance Rev.","Housing Finance Review"
"Housing Pol. Debate","Housing Policy Debate"
"Housing Stud.","Housing Studies"
"Human Resource Devel. Quart.","Human Resource Development Quarterly"
"Humanomics","Humanomics"
"Ifo Studien","Ifo Studien"
"IIUM J. Econ. Manage.","IIUM Journal of Economics and Management"
"Il Pensiero Econ. Italiano","Il Pensiero Economico Italiano"
"Il Politico","Il Politico"
"Il Risparmio","Il Risparmio"
"Ill. Agr. Econ.","Illinois Agricultural Economics"
"IMF Staff Pap.","IMF Staff Papers"
"Impact Sci. Society","Impact of Science on Society"
"Independent Rev.","Independent Review"
"Indian Econ. Soc. Hist. Rev.","Indian Economic and Social History Review"
"Indian Econ. J.","Indian Economic Journal"
"Indian Econ. Rev.","Indian Economic Review"
"Indian J. Appl. Econ.","Indian Journal of Applied Economics"
"Indian J. Econ.","Indian Journal of Economics"
"Indian J. Gender Stud.","Indian Journal of Gender Studies"
"Indian J. Lab. Econ.","Indian Journal of Labour Economics"
"Indian J. Quant. Econ.","Indian Journal of Quantitative Economics"
"Indiana Bus. Rev.","Indiana Business Review"
"Ind. Corp. Change","Industrial and Corporate Change"
"Ind. Lab. Relat. Rev.","Industrial and Labor Relations Review"
"Ind. Organ. Rev.","Industrial Organization Review"
"Ind. Relat.","Industrial Relations"
"Industry Devel.","Industry and Development"
"Industry Innovation","Industry and Innovation"
"Info","Info"
"Info. Comercial Espan~ola Revista Econ.","Informacion Comercial Espan~ola Revista de Economia"
"Info. Econ. Pol.","Information Economics and Policy"
"Innovations","Innovations"
"Inquiry","Inquiry"
"Ins.: Mathematics Econ.","Insurance: Mathematics and Economics"
"Integration Trade","Integration and Trade"
"Intermountain Econ. Rev.","Intermountain Economic Review"
"Int. Advances Econ. Res.","International Advances in Economic Research"
"Int. Contrib. to Lab. Stud.","International Contributions to Labour Studies"
"Int. Econ. Insights","International Economic Insights"
"Int. Econ. J.","International Economic Journal"
"Int. Econ. Rev.","International Economic Review"
"Int. Economy","International Economy"
"Int. Finance","International Finance"
"Int. Game Theory Rev.","International Game Theory Review"
"Int. J. Appl. Econ. Econometrics","International Journal of Applied Economics and Econometrics"
"Int. J. Bus.","International Journal of Business"
"Int. J. Finance Econ.","International Journal of Finance and Economics"
"Int. J. Forecasting","International Journal of Forecasting"
"Int. J. Game Theory","International Journal of Game Theory"
"Int. J. Ind. Organ.","International Journal of Industrial Organization"
"Int. J. Manpower","International Journal of Manpower"
"Int. J. Maritime Econ.","International Journal of Maritime Economics"
"Int. J. Product. Econ.","International Journal of Production Economics"
"Int. J. Soc. Econ.","International Journal of Social Economics"
"Int. J. Econ. Bus.","International Journal of the Economics of Business"
"Int. J. Theoretical Appl. Finance","International Journal of Theoretical and Applied Finance"
"Int. J. Transport Econ.","International Journal of Transport Economics"
"Int. J. Urban Reg. Res.","International Journal of Urban and Regional Research"
"Int. Lab. Rev.","International Labour Review"
"Int. Monet. Fund Staff Pap.","International Monetary Fund Staff Papers"
"Int. Organ.","International Organization"
"Int. Pol. Rev.","International Policy Review"
"Int. Reg. Sci. Rev.","International Regional Science Review"
"Int. Rev. Appl. Econ.","International Review of Applied Economics"
"Int. Rev. Econ. Finance","International Review of Economics and Finance"
"Int. Rev. Finan. Anal.","International Review of Financial Analysis"
"Int. Rev. Law Econ.","International Review of Law and Economics"
"Int. Soc. Sci. J.","International Social Science Journal"
"Int. Tax Public Finance","International Tax and Public Finance"
"Int. Trade J.","International Trade Journal"
"Investigación Econ.","Investigación Económica"
"Investigaciones Econ.","Investigaciones Economicas"
"Invest. Pol.","Investment Policy"
"Irish Banking Rev.","Irish Banking Review"
"Irish J. Agr. Econ. Rural Sociology","Irish Journal of Agricultural Economics and Rural Sociology"
"ISE Rev.","ISE Review"
"Islamic Econ. Stud.","Islamic Economic Studies"
"Jahr. Nationalökon. Statist.","Jahrbücher für Nationalökonomie und Statistik"
"Jahr. Wirtsch. Osteuropas","Jahrbuch der Wirtschaft Osteuropas"
"Jahr. Regionalwissen./Rev. Reg. Res.","Jahrbuch für Regionalwissenschaft/Review of Regional Research"
"Japan World Economy","Japan and the World Economy"
"Japan Res. Quart.","Japan Research Quarterly"
"Japanese Econ. Rev.","Japanese Economic Review"
"Japanese Econ. Stud.","Japanese Economic Studies"
"Japanese Economy","Japanese Economy"
"J. Stud. Econ. Econometrics","Journal for Studies in Economics and Econometrics"
"J. Acc. Econ.","Journal of Accounting and Economics"
"J. Acc. Res.","Journal of Accounting Research"
"J. Acc., Aud. Finance","Journal of Accounting, Auditing and Finance"
"J. African Bus.","Journal of African Business"
"J. African Economies","Journal of African Economies"
"J. African Finance Econ. Devel.","Journal of African Finance and Economic Development"
"J. Agr. Appl. Econ.","Journal of Agricultural and Applied Economics"
"J. Agr. Resource Econ.","Journal of Agricultural and Resource Economics"
"J. Agr. Econ. Res.","Journal of Agricultural Economics Research"
"J. Agr. Econ.","Journal of Agricultural Economics"
"J. Appl. Bus. Res.","Journal of Applied Business Research"
"J. Appl. Econometrics","Journal of Applied Econometrics"
"J. Appl. Econ.","Journal of Applied Economics"
"J. Appl. Statist.","Journal of Applied Statistics"
"J. Asia-Pacific Bus.","Journal of Asia-Pacific Business"
"J. Asian Econ.","Journal of Asian Economics"
"J. Asian Stud.","Journal of Asian Studies"
"J. Australian Polit. Economy","Journal of Australian Political Economy"
"J. Bank Res.","Journal of Bank Research"
"J. Banking Finance","Journal of Banking and Finance"
"J. Behavioral Econ.","Journal of Behavioral Economics"
"J. Bioecon.","Journal of Bioeconomics"
"J. Bus. Econ. Statist.","Journal of Business and Economic Statistics"
"J. Bus. Res.","Journal of Business Research"
"J. Bus.","Journal of Business"
"J. Common Market Stud.","Journal of Common Market Studies"
"J. Compar. Econ.","Journal of Comparative Economics"
"J. Conflict Resolution","Journal of Conflict Resolution"
"J. Cons. Aff.","Journal of Consumer Affairs"
"J. Cons. Pol.","Journal of Consumer Policy"
"J. Cons. Res.","Journal of Consumer Research"
"J. Corp. Finan.: Contracting, Governance Organ.","Journal of Corporate Finance: Contracting, Governance and Organization"
"J. Cult. Econ.","Journal of Cultural Economics"
"J. Derivatives","Journal of Derivatives"
"J. Developing Areas","Journal of Developing Areas"
"J. Devel. Econ. Pol.","Journal of Development and Economic Policies"
"J. Devel. Econ.","Journal of Development Economics"
"J. Devel. Stud.","Journal of Development Studies"
"J. East West Stud.","Journal of East and West Studies"
"J. East-West Bus.","Journal of East-West Business"
"J. Econometrics","Journal of Econometrics"
"J. Econ. Soc. Meas.","Journal of Economic and Social Measurement"
"J. Econ. Soc. Pol.","Journal of Economic and Social Policy"
"J. Econ. Soc. Res.","Journal of Economic and Social Research"
"J. Econ. Behav. Organ.","Journal of Economic Behavior and Organization"
"J. Econ. Cooperation Islamic Countries","Journal of Economic Cooperation among Islamic Countries"
"J. Econ. Devel.","Journal of Economic Development"
"J. Econ. Dynam. Control","Journal of Economic Dynamics and Control"
"J. Econ. Educ.","Journal of Economic Education"
"J. Econ. Growth","Journal of Economic Growth"
"J. Econ. Hist.","Journal of Economic History"
"J. Econ. Integration","Journal of Economic Integration"
"J. Econ. Issues","Journal of Economic Issues"
"J. Econ. Lit.","Journal of Economic Literature"
"J. Econ. Methodology","Journal of Economic Methodology"
"J. Econ. Perspect.","Journal of Economic Perspectives"
"J. Econ. Psych.","Journal of Economic Psychology"
"J. Econ. Res.","Journal of Economic Research"
"J. Econ. Stud.","Journal of Economic Studies"
"J. Econ. Surveys","Journal of Economic Surveys"
"J. Econ. Theory Econometrics","Journal of Economic Theory and Econometrics"
"J. Econ. Theory","Journal of Economic Theory"
"J. Econ. (MVEA)","Journal of Economics (MVEA)"
"J. Econ. (Z. Nationalökon.)","Journal of Economics (Zeitschrift für Nationalökonomie)"
"J. Econ. Bus.","Journal of Economics and Business"
"J. Econ. Finance","Journal of Economics and Finance"
