"Acc Chem Res","Accounts of Chemical Research"
"Int J Quantum Chem 1","International Journal of Quantum Chemistry, Part 1"
"Int J Quantum Chem 2","International Journal of Quantum Chemistry, Part 2"
"Int J Theor Phys","International Journal of Theoretical Physics"
"Izv Acad Sci USSR, Atmos Oceanic Phys","Izvestiya, Academy of Sciences, USSR, Atmospheric and Oceanic Physics (translation of Izvestiya Akademii Nauk SSSR, Fizika Atmosfery i Okeana)"
"Izv Acad Sci USSR, Phys Solid Earth","Izvestiya, Academy of Sciences, USSR, Physics of the Solid Earth (translation of Izvestiya Akademii Nauk SSSR, Fizika Zemli)"
"Izv Akad Nauk SSSR, Fiz Atmos Okeana [Izv Acad Sci USSR, Oceanic Phys]","Izvestiya Akademii Nauk SSSR, Fizika Atmosfery i Okeana [Izvestiya, Academy of Sciences, USSR, Atmospheric and Oceanic Physics]"
"Izv Akad Nauk SSSR, Fiz Zemli [Izv Acad Sci USSR, Phys Solid Earth]","Izvestiya Akademii Nauk SSSR, Fizika Zemli [Izvestiya, Academy of Sciences, USSR, Physics of the Solid Earth]"
"Izv Akad Nauk SSSR, Neorg Mater [Inorg Mater (USSR)]","Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy [Inorganic Materials (USSR)]"
"Izv Akad Nauk SSSR, Ser Fiz [Bull Acad Sci USSR, Phys Ser]","Izvestiya Akademii Nauk SSSR, Seriya Fizicheskaya [Bulletin of the Academy of Sciences of the USSR, Physical Series]"
"Izv Vyssh Uchebn Zaved Fiz [Sov Phys J]","Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika [Soviet Physics Journal]"
"Izv Vyssh Uchebn Zaved Radiofiz [Sov Radiophys]","Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika [Soviet Radiophysics]"
"Jpn J Appl Phys","Japanese Journal of Applied Physics"
"Jpn J Phys","Japanese Journal of Physics"
"JETP Lett","JETP Letters (translation of Pis'ma v Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki)"
"J Chim Phys","Journal de Chimie Physique"
"J Phys (Paris)","Journal de Physique (Paris)"
"J Phys Radium","Journal de Physique et le Radium"
"J Appl Crystallogr","Journal of Applied Crystallography"
"J Appl Phys","Journal of Applied Physics"
"J Appl Spectrosc (USSR)","Journal of Applied Spectroscopy (USSR) (translation of Zhurnal Prikladnoi Spektroskopii)"
"J Atmos Terr Phys","Journal of Atmospheric and Terrestrial Physics"
"J Atmos Sci","Journal of Atmospheric Sciences"
"J Chem Phys","Journal of Chemical Physics"
"J Comput Phys","Journal of Computational Physics"
"J Cryst Growth","Journal of Crystal Growth"
"J Fluid Mech","Journal of Fluid Mechanics"
"J Geophys Res","Journal of Geophysical Research"
"J High Energy Phys","Journal of High Energy Physics "
"J Inorg Nucl Chem","Journal of Inorganic and Nuclear Chemistry"
"J Low Temp Phys","Journal of Low Temperature Physics"
"J Lumin","Journal of Luminescence"
"J Macromol Sci","Journal of Macromolecular Science, [Part B] Physics"
"J Math Phys","Journal of Mathematical Physics"
"J Mol Spectrosc","Journal of Molecular Spectroscopy"
"J Non-Cryst Solids","Journal of Non-Crystalline Solids"
"J Nucl Energy","Journal of Nuclear Energy"
"J Nucl Energy, Part C","Journal of Nuclear Energy, Part C: Plasma Physics, Accelerators, Thermonuclear Research"
"J Nucl Mater","Journal of Nuclear Materials"
"J Phys Chem Ref Data","Journal of Physical and Chemical Reference Data"
"J Phys Chem","Journal of Physical Chemistry"
"J Phys A","Journal of Physics A: General Physics"
"J Phys Chem Solids","Journal of Physics and Chemistry of Solids"
"J Phys B","Journal of Physics B: Atomic and Molecular Physics"
"J Phys C","Journal of Physics C: Solid State Physics"
"J Phys D","Journal of Physics D: Applied Physics"
"J Phys E","Journal of Physics E: Scientific Instruments"
"J Phys F","Journal of Physics F: Metal Physics"
"J Phys (Moscow)","Journal of Physics (Moscow)"
"J Plasma Phys","Journal of Plasma Physics"
"J Polym Sci","Journal of Polymer Science"
"J Polym Sci Polym Lett Ed","Journal of Polymer Science, Polymer Letters Edition"
"J Polym Sci Polym Phys Ed","Journal of Polymer Science, Polymer Physics Edition"
"J Quant Spectrosc Radiat Transfer","Journal of Quantitative Spectroscopy & Radiative Transfer"
"J Res Nat l Bur Stand","Journal of Research of the National Bureau of Standards"
"J Res Nat l Bur Stand Sect A","Journal of Research of the National Bureau of Standards, Section A: Physics and Chemistry"
"J Res Nat l Bur Stand Sect B","Journal of Research of the National Bureau of Standards, Section B: Mathematical Sciences"
"J Res Nat l Bur Stand Sect C","Journal of Research of the National Bureau of Standards, Section C: Engineering and Instrumentation"
"J Sci Instrum","Journal of Scientific Instruments"
"J Sound Vib","Journal of Sound and Vibration"
"J Speech Hear Disord","Journal of Speech and Hearing Disorders"
"J Speech Hear Res","Journal of Speech and Hearing Research"
"J Stat Phys","Journal of Statistical Physics"
"J Acoust Soc Am","Journal of the Acoustical Society of America"
"J Am Ceram Soc","Journal of the American Ceramic Society"
"J Am Chem Soc","Journal of the American Chemical Society"
"J Am Inst Electr Eng","Journal of the American Institute of Electrical Engineers"
"J Audio Eng Soc","Journal of the Audio Engineering Society"
"J Chem Soc","Journal of the Chemical Society"
"J Electrochem Soc","Journal of the Electrochemical Society"
"J Mech Phys Solids","Journal of the Mechanics and Physics of Solids"
"J Opt Soc Am","Journal of the Optical Society of America"
"J Phys Soc Jpn","Journal of the Physical Society of Japan "
"J R Soc Interface","Journal of the Royal Society Interface "
"J Vac Sci Technol","Journal of Vacuum Science and Technology"
"Kolloid Z Z Polym","Kolloid Zeitschrift & Zeitschrift fur Polymere"
"K Dan Vidensk Selsk Mat Fys Medd","Kongelige Danske Videnskabernes Selskab, Matematsik Fysiske Meddelelser"
"Kristallografiya [Sov Phys Crystallogr]","Kristallografiya [Soviet Physics-Crystallography]"
"Kvant Elektron (Moscow) [Sov J Quantum Electron]","Kvantovaya Elektronika (Moscow) [Soviet Journal of Quantum Electronics]"
"Laryngoscope","Laryngoscope"
"Lett Nuovo Cimento","Lettere al Nuovo Cimento"
"Lick Obs Bull","Lick Observatory Bulletin"
"Mater Res Bull","Materials Research Bulletin"
"Med Phys","Medical Physics"
"Mem R Astron Soc","Memoirs of the Royal Astronomical Society"
"Mol Cryst Liq Cryst","Molecular Crystals and Liquid Crystals"
"Mol Phys","Molecular Physics"
"Mon Not R Astron Soc","Monthly Notices of the Royal Astronomical Society"
"Nat l Bur Stand (U.S.) Circ","National Bureau of Standards (U.S.), Circular"
"Nat l Bur Stand (U.S.) Misc Publ","National Bureau of Standards (U.S.), Miscellaneous Publication"
"Nat l Bur Stand (U.S.) Spec Publ","Nationa l Bureau of Standards (U.S.), Special Publication"
"Nature (London)","Nature (London)"
"Naturwissenschaften","Naturwissenschaften"
"Notes Rec R Soc","Notes and Records of the Royal Society "
"Nucl Data, Sect A","Nuclear Data, Section A"
"Nucl Data, Sect B","Nuclear Data, Section B"
"Nucl Fusion","Nuclear Fusion"
"Nucl Instrum","Nuclear Instruments"
"Nucl Instrum Methods","Nuclear Instruments & Methods"
"Nucl Phys","Nuclear Physics"
"Nucl Phys","Nuclear Physics A"
"Nucl Phys","Nuclear Physics B"
"Nucl Sci Eng","Nuclear Science and Engineering"
"Nukleonik","Nukleonik"
"Nuovo Cimento","Nuovo Cimento"
"Nuovo Cimento","Nuovo Cimento A"
"Nuovo Cimento","Nuovo Cimento B"
"Opt Acta","Optica Acta"
"Opt Spectrosc (USSR)","Optics and Spectroscopy (USSR) (translation of Optika i Spektroskopiya)"
"Opt Commun","Optics Communications"
"Opt Lett","Optics Letters"
"Opt News","Optics News"
"Optik (Stuttgart)","Optik (Stuttgart)"
"Opt Spectrosk [Opt Spectrosc (USSR)]","Optika i Spectroskopiya [Optics and Spectroscopy (USSR)]"
"Opt -Mekh Prom [Sov J Opt Technol]","Optiko-Mekhanicheskaya Promyshlennost [Soviet Journal of Optical Technology]"
"Percept Psychophys","Perception and Psychophysics"
"Philips Res Rep","Philips Research Reports"
"Philos Mag","Philosophical Magazine"
"Phil Trans R Soc London","Philosophical Transactions of the Royal Society of London"
"Phil Trans R Soc A","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences"
"Phil Trans R Soc B","Philosophical Transactions of the Royal Society B:Biological Sciences"
"Phys Rev","Physical Review"
"Phys Rev A","Physical Review A: Atomic, Molecular, and Optical Physics"
"Phys Rev B","Physical Review B: Solid State"
"Phys Rev C","Physical Review C: Nuclear Physics"
"Phys Rev D","Physical Review D: Particles and Fields"
"Phys Rev E","Physical Review E: Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics"
"Phys Rev Lett","Physical Review Letters"
"Phys Rev S T Accel Beams","Physical Review Special Topics - Accelerators and Beams (close up ST without periods)"
"Phys Status Solidi","Physica Status Solidi"
"Phys Status Solidi A","Physica Status Solidi A: Applied Research"
"Phys Status Solidi B","Physica Status Solidi B: Basic Research"
"Physica (Utrecht)","Physica (Utrecht)"
"Phys Chem Solids","Physics and Chemistry of Solids"
"Phys Lett","Physics Letters"
"Phys Lett","Physics Letters A"
"Phys Lett","Physics Letters B"
"Physics (NY)","Physics (New York)"
"Phys Fluids","Physics of Fluids"
"Phys Met Mettalogr (USSR)","Physics of Metals and Mettalography (USSR) (translation of Fizika Metallov i Metallovedenie)"
"Phys Teach","Physics Teacher"
"Phys Today","Physics Today"
"Phys Z","Physikalische Zeitschrift"
"Phys Z Sowjetunion","Physikalische Zeitschrift der Sowjetunion"
"Phys Kondens Mater","Physik der Kondensierten Materie"
"Pis'ma Astron Zh [Sov Astron Lett]","Pis'ma v Astronomicheskii Zhurnal [Soviet Astronomy Letters]"
"Pis'ma Zh Eksp Teor Fiz [JETP Lett]","Pis'ma v Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki [JETP Letters]"
"Pis'ma Zh Tekh Fiz [Sov Tech Phys Lett]","Pis'ma v Zhurnal Tekhnicheskoi Fiziki [Soviet Technical Physics Letters]"
"Planet Space Sci","Planetary and Space Science"
"Plasma Phys","Plasma Physics"
"Prib Tekh Eksp [Instrum Exp Tech (USSR)]","Pribory i Tekhnika Eksperimenta [Instruments and Experimental Techniques (USSR)]"
"Proc Cambridge Philos Soc","Proceedings of the Cambridge Philosophical Society"
"Proc IEEE","Proceedings of the IEEE"
"Proc IRE","Proceedings of the IRE"
"Proc Nat l Acad Sci U S A","Proceedings of the Nationa l Academy of Sciences of the United States of America"
"Proc Phys Soc London","Proceedings of the Physical Society, London"
"Proc Phys Soc London, Sect A","Proceedings of the Physical Society, London, Section A"
"Proc Phys Soc London, Sect B","Proceedings of the Physical Society, London, Section B"
"Proc R Soc London","Proceedings of the Royal Society of London"
"Proc R Soc A","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences"
"Proc R Soc B","Proceedings of the Royal Society B: Biological Sciences"
"Prog Theor Phys","Progress of Theoretical Physics"
"Publ Astron Soc Pac","Publications of the Astronomical Society of the Pacific"
"Radiat Eff","Radiation Effects"
"Radio Eng Electron Phys (USSR)","Radio Engineering and Electronic Physics (USSR) (translation of Radiotekhnika i Elektronika)"
"Radio Eng Electron (USSR)","Radio Engineering and Electronics (USSR) (translation of Radiotekhnika i Elektronika)"
"Radiology","Radiology"
"Radio Sci","Radio Science"
"Radiotekh Elektron [Radio Eng Electron Phys (USSR)]","Radiotekhnika i Elektronika [Radio Engineering and Electronic Physics (USSR)]"
"Radiotekh Elektron [Radio Eng Electron (USSR)]","Radiotekhnika i Elektronika [Radio Engineering and Electronics (USSR)]"
"RCA Rev","RCA Review"
"Rep Prog Phys","Reports on Progress in Physics"
"Rev Sci Instrum","Review of Scientific Instruments"
"Rev Mod Phys","Review of Modern Physics"
"Rev Opt Theor Instrum","Revue d' Optique, Theorique et Instrumentale"
"Russ J Phys Chem","Russian Journal of Physical Chemistry (translation of Zhurnal Fizicheskoi Khimii)"
"Science","Science"
"Sci Am","Scientific American"
"Sol Phys","Solar Physics"
"Solid State Commun","Solid State Communications"
"Solid-State Electron","Solid-State Electronics"
"Sov Astron","Soviet Astronomy (translation of Astronomicheskii Zhurnal)"
"Sov Astron Lett","Soviet Astronomy Letters (translation of Pis'ma v Astronomicheskii Zhurnal)"
"Sov J At Energy","Soviet Journal of Atomic Energy (translation of Atominaya Energiya)"
"Sov J Low Temp Phys","Soviet Journal of Low Temperature Physics (translation of Fizika Nizkikh Temperatur)"
"Sov J Nucl Phys","Soviet Journal of Nuclear Physics (translation of Yadernaya Fizika)"
"Sov J Opt Technol","Soviet Journal of Optical Technology (translation of Optiko-Mekhanischeskaya Promyshlennost)"
"Sov J Part Nucl","Soviet Journal of Particles and Nuclei (translation of Fizika Elementarnykh Chastits i Atomnogo Yadra)"
"Sov J Plasma Phys","Soviet Journal of Plasma Physics (translation of Fizika Plazmy)"
"Sov J Quantum Electron","Soviet Journal of Quantum Electronics [translation of Kvantovaya Elektronika (Moscow)]"
"Sov Phys Acoust","Soviet Physics-Acoustics (translation of Akusticheskii Zhurnal)"
"Sov Phys Crystallogr","Soviet Physics-Crystallography (translation of Kristallografiya)"
"Sov Phys Dokl","Soviet Physics-Doklady (translation of Doklady Akademii Nauk SSSR)"
"Sov Phys JETP","Soviet Physics-JETP (translation of Zhurnal Eksperimental'noi i Teoretischeskoi Fiziki)"
"Sov Phys J","Soviet Physics Journal (translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika)"
"Sov Phys Semicond","Soviet Physics-Semiconductors (translation of Fizika i Tekhnika Poluprovodnikov)"
"Sov Phys Solid State","Soviet Physics-Solid State [translation of Fizika Tverdogo Tela (Leningrad)]"
"Sov Phys Tech Phys","Soviet Physics-Technical Physics (translation of Zhurnal Tekhnicheskoi Fiziki)"
"Sov Phys Usp","Soviet Physics-Uspekhi (translation of Uspekhi Fizicheskikh Nauk)"
"Sov Radiophys","Soviet Radiophysics (translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika)"
"Sov Tech Phys Lett","Soviet Technical Physics Letters (translation of Pis'ma v Zhurnal Tekhnicheskoi Fiziki)"
"Spectrochim Acta","Spectrochimica Acta"
"Spectrochim Acta, Part A","Spectrochimica Acta, Part A: Molecular Spectroscopy"
"Spectrochim Acta, Part B","Spectrochimica Acta, Part B: Atomic Spectroscopy"
"Surf Sci","Surface Science"
"Teplofiz Vys Temp [High Temp (USSR)]","Teplofizika Vysokikh Temperatur [High Temperature (USSR)]"
"Tetrahedron","Tetrahedron"
"Theor Chim Acta","Theoretica Chimica Acta"
"Thin Solid Films","Thin Solid Films"
"Trans Am Crystallogr Assoc","Transactions of the American Crystallographic Association"
"Trans Am Geophys Union","Transactions of the American Geophysical Union"
"Trans Am Inst Min Metall Pet Eng","Transactions of the American Institute of Mining, Metallurgical and Petroleum Engineers"
"Trans Am Nucl Soc","Transactions of the American Nuclear Society"
"Trans Am Soc Met","Transactions of the American Society for Metals"
"Trans Am Soc Mech Eng","Transactions of the American Society of Mechanical Engineers"
"Trans Br Ceram Soc","Transactions of the British Ceramic Society"
"Trans Faraday Soc","Transactions of the Faraday Society"
"Trans Metall Soc AIME","Transactions of the Metallurgical Society of AIME"
"Trans Soc Rheol","Transactions of the Society of Rheology"
"Ukr Phys J","Ukrainian Physics Journal [translation of Ukrainskii Fizicheskii Zhurnal (Russian Edition)]"
"Ukr Fiz Zh (Russ Ed) [Ukr Phys J]","Ukrainskii Fizicheskii Zhurnal (Russian Edition) [Ukrainian Physics Journal]"
"Ultrasonics","Ultrasonics"
"Usp Fiz Nauk [Sov Phys Usp]","Uspekhi Fizicheskikh Nauk [Soviet Physics-Uspekhi]"
"Wuli Xuebao (Acta Phys Sin) [Chin J Phys]","Wuli Xuebao (Acta Physica Sinica) [Chinese Journal of Physics]"
"Yad Fiz [Sov J Nucl Phys]","Yadernaya Fizika [Soviet Journal of Nuclear Physics]"
"Z Anal Chem","Zeitschrift fur Analytische Chemie "
"Z Angew Phys","Zeitschrift fur Angewandte Physik"
"Z Anorg Allg Chem","Zeitschrift fur Anorganische und Allgemeine Chemie"
"Z Astrophys","Zeitschrift fur Astrophysik"
"Z Elektrochem","Zeitschrift fur Elektrochemie"
"Z Kristallogr Kristallgeom Kristallphys Kristallchem","Zeitschrift fur Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie"
"Z Metallk d","Zeitschrift fur Metallkun de"
"Z Naturforsch","Zeitschrift fur Naturforschung"
"Z Naturforsch Teil A","Zeitschrift fur Naturforschung, Teil A: Physik, Physikalische Chemie, Kosmophysik"
"Z Phys","Zeitschrift fur Physik"
"Z Phys A","Zeitschrift fur Physik A: Atoms and Nuclei"
"Z Phys B","Zeitschrift fur Physik B: Condensed Matter and Quanta"
"Z Phys C","Zeitschrift fur Physik C: Particles and Fields"
"Z Phys Chem Materialforsch","Zeitschrift fur Physikalisch- Chemische Materialforschung"
"Z Phys Chem Abt A","Zeitschrift fur Physikalische Chemie, Abteilung A: Chemische Thermodynamik, Kinetik, Elektrochemie, Eigenschaftslehre"
"Z Phys Chem Abt B","Zeitschrift fur Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie"
"Z Phys Chem (Frankfurt am Main)","Zeitschrift fur Physikalische Chemie (Frankfurt am Main)"
"Z Phys Chem (Leipzig)","Zeitschrift fur Physikalische Chemie (Leipzig)"
"Zh Eksp Teor Fiz [Sov Phys JETP]","Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki [Soviet Physics-JETP]"
"Zh Fiz Khim [Russ J Phys Chem]","Zhurnal Fizicheskoi Khimii [Russian Journal of Physical Chemistry]"
"Zh Prikl Spektrosk [J Appl Spectrosc (USSR)]","Zhurnal Prikladnoi Spektroskopii [Journal of Applied Spectroscopy (USSR)]"
"Zh Tekh Fiz [Sov Phys Tech Phys]","Zhurnal Tekhnicheskoi Fiziki [Soviet Physics-Technical Physics]"
